batch,sourcefile,sourceline,fullpath,filename,bytes,timestamp,md5,relpath
Archive044,Archive044_2015-05-05_DPIdetails.txt,79,./Ims-026122-0001.mp4,Ims-026122-0001.mp4,533606871,Tue Dec 16 14:44:34 EST 2014,939364ec6b55a90a4b7e7bdd740d5e5c,Ims-026122-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,80,./Ims-026123-0001.mp4,Ims-026123-0001.mp4,597774812,Tue Dec 16 16:02:35 EST 2014,f2d9cd2b21f8098511dd468c8ad589e7,Ims-026123-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,81,./Ims-026124-0001.mp4,Ims-026124-0001.mp4,333976086,Tue Dec 16 14:38:29 EST 2014,a4026600c0314c837a2f20dd25664f2e,Ims-026124-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,82,./Ims-026125-0001.mp4,Ims-026125-0001.mp4,652998063,Tue Dec 16 15:31:08 EST 2014,7d4dbf8d335fa5767861fb7b5aced5ee,Ims-026125-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,83,./Ims-026126-0001.mp4,Ims-026126-0001.mp4,580812179,Tue Dec 16 15:07:35 EST 2014,7b8094ea208c89415af4cadb55907514,Ims-026126-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,84,./Ims-026127-0001.mp4,Ims-026127-0001.mp4,568892684,Tue Dec 16 15:22:37 EST 2014,82f842820cb8a60f798e934c3e2125f3,Ims-026127-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,85,./Ims-026128-0001.mp4,Ims-026128-0001.mp4,453896716,Tue Dec 16 15:27:06 EST 2014,05513f69b95d6c77ce0aebd60fbb5864,Ims-026128-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,86,./Ims-026129-0001.mp4,Ims-026129-0001.mp4,551352408,Tue Dec 16 15:14:12 EST 2014,94c64839ef72e964ce9958c33b400b7f,Ims-026129-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,87,./Ims-026130-0001.mp4,Ims-026130-0001.mp4,584213650,Tue Dec 16 16:19:31 EST 2014,8ece05e4dd260a2321ccaa995dd2ece9,Ims-026130-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,88,./Ims-026131-0001.mp4,Ims-026131-0001.mp4,202368882,Tue Dec 16 15:18:21 EST 2014,04b8098637d973a8f7ad3e63c07927dc,Ims-026131-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,89,./Ims-026132-0001.mp4,Ims-026132-0001.mp4,917284415,Tue Dec 16 16:50:21 EST 2014,5b455a14f132bee48d28209729ade9a8,Ims-026132-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,90,./Ims-026133-0001.mp4,Ims-026133-0001.mp4,689645180,Tue Dec 16 16:01:39 EST 2014,ec5c48b8a45c7d2687e0f793ad97ac1a,Ims-026133-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,91,./Ims-026134-0001.mp4,Ims-026134-0001.mp4,718346378,Tue Dec 16 16:35:41 EST 2014,f416c1ef2fa9aae0aed6d94db4582b5a,Ims-026134-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,92,./Ims-026135-0001.mp4,Ims-026135-0001.mp4,647226985,Tue Dec 16 16:11:50 EST 2014,ee3e553301d92638c88db18d2f06d656,Ims-026135-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,93,./Ims-026136-0001.mp4,Ims-026136-0001.mp4,582071178,Tue Dec 16 16:03:20 EST 2014,0a5da32b99a6cd1b3c21f4c7d27b6a54,Ims-026136-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,94,./Ims-026137-0001.mp4,Ims-026137-0001.mp4,587774017,Tue Dec 16 17:04:40 EST 2014,b110581900d74a5f29e6e88c7a55c7bd,Ims-026137-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,95,./Ims-026138-0001.mp4,Ims-026138-0001.mp4,579447943,Tue Dec 16 16:40:54 EST 2014,ea43bae8782a66cd2da19dabdb9c4528,Ims-026138-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,96,./Ims-026139-0001.mp4,Ims-026139-0001.mp4,438008700,Tue Dec 16 16:52:13 EST 2014,ea63929b02a99dd6ac2e2481b33735aa,Ims-026139-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,97,./Ims-026140-0001.mp4,Ims-026140-0001.mp4,574208325,Tue Dec 16 16:59:40 EST 2014,0fa82f5ff76edb646bfc3f2645aa1992,Ims-026140-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,98,./Ims-026141-0001.mp4,Ims-026141-0001.mp4,591730930,Tue Dec 16 17:01:54 EST 2014,493c28818b1e4bba8052a40676b38743,Ims-026141-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,99,./Ims-026142-0001.mp4,Ims-026142-0001.mp4,599474536,Tue Dec 16 17:02:43 EST 2014,bb0d30d95a8e0ae84feb6a1e0f9e5f55,Ims-026142-0001.mp4
Archive044,Archive044_2015-05-05_DPIdetails.txt,100,./Ims-026143-0001.mp4,Ims-026143-0001.mp4,579079107,Tue Dec 16 17:24:30 EST 2014,099dc1b871d5439293af3e81fe8ab261,Ims-026143-0001.mp4
