batch,sourcefile,sourceline,filename,bytes,timestamp,md5,relpath
Archive031,Archive031_2014-03-13_DPIdetails.txt,26,histmss-023675-0006.tif,47796664,Wed Oct 16 16:50:57 EDT 2013,9cf24744e3d605f8d27d748b8463900b,DCR Projects/Archive/NOVEMBER/scpa/histmss-023675-0006.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,27,histmss-023675-0007.tif,45246012,Thu Oct 17 11:06:40 EDT 2013,a0557e07a7611ae3e4b7cd7b30399aa6,DCR Projects/Archive/NOVEMBER/scpa/histmss-023675-0007.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,28,histmss-023675-0008.tif,47467252,Thu Oct 17 11:19:39 EDT 2013,860b3c1dd1b7ecae278b3be8177cc1e3,DCR Projects/Archive/NOVEMBER/scpa/histmss-023675-0008.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,29,histmss-023675-0009.tif,46201188,Thu Oct 17 11:31:39 EDT 2013,018752f984518df2db05212e9fe62323,DCR Projects/Archive/NOVEMBER/scpa/histmss-023675-0009.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,30,histmss-023675-0010.tif,47552684,Thu Oct 17 11:36:49 EDT 2013,cf1aa3df6de399fac7dd21b040de714c,DCR Projects/Archive/NOVEMBER/scpa/histmss-023675-0010.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,31,histmss-023675-0011.tif,46512732,Thu Oct 17 11:39:17 EDT 2013,4e8d69b99c21bcc88bb05941f1342dc8,DCR Projects/Archive/NOVEMBER/scpa/histmss-023675-0011.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,32,histmss-023675-0012.tif,48209324,Thu Oct 17 11:44:13 EDT 2013,977e71cb51d061592398c2f417958c3f,DCR Projects/Archive/NOVEMBER/scpa/histmss-023675-0012.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,33,histmss-023676-0001.tif,47730156,Thu Oct 17 11:51:47 EDT 2013,8c3af20d220ff089a7fc73002462ccc5,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0001.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,34,histmss-023676-0002.tif,47061728,Thu Oct 17 12:23:53 EDT 2013,6b3682e60d2a3109625f50fdbde9e118,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0002.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,35,histmss-023676-0003.tif,47385596,Thu Oct 17 12:31:59 EDT 2013,9fd6985ff297cc60ebe2fb07c16066a3,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0003.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,36,histmss-023676-0004.tif,48313188,Thu Oct 17 12:43:49 EDT 2013,45397201392f76aececeef963f9da284,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0004.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,37,histmss-023676-0005.tif,47600340,Thu Oct 17 12:45:47 EDT 2013,d333a5bc8a444a1e4f03b6a8b6a5a140,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0005.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,38,histmss-023676-0006.tif,47647532,Thu Oct 17 12:57:16 EDT 2013,2664e177555e84c65ee78aa7c975327d,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0006.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,39,histmss-023676-0007.tif,46991348,Thu Oct 17 13:41:58 EDT 2013,eece6add37e44cc18abd7b4119936dc9,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0007.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,40,histmss-023676-0008.tif,47315932,Thu Oct 17 13:50:02 EDT 2013,09932220c8e79db09517e6b6f66c0492,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0008.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,41,histmss-023676-0009.tif,46623336,Thu Oct 17 13:54:29 EDT 2013,fc3f29a380cae5531d13f2dc9aa29fbb,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0009.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,42,histmss-023676-0010.tif,47391564,Thu Oct 17 13:58:16 EDT 2013,252a66c58bcb3e2ad5eb0ec5aa6b9b07,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0010.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,43,histmss-023676-0011.tif,46343832,Thu Oct 17 14:01:14 EDT 2013,ccead8f63798073c8f99fb2ef621a2f4,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0011.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,44,histmss-023676-0012.tif,46671552,Thu Oct 17 14:10:22 EDT 2013,bff25cd569411bbb90a751f8427bbf07,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0012.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,45,histmss-023676-0013.tif,46166012,Thu Oct 17 14:12:36 EDT 2013,5dcd3e354c62f4351123ca238731cbd1,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0013.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,46,histmss-023676-0014.tif,47352824,Thu Oct 17 14:16:58 EDT 2013,d754e204f31f7e73dff452d1f396eebf,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0014.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,47,histmss-023676-0015.tif,46035732,Thu Oct 17 14:21:22 EDT 2013,203d5274b14f008c850f83ed83e2f1a5,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0015.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,48,histmss-023676-0016.tif,48177396,Thu Oct 17 14:25:57 EDT 2013,52fbf3e3bfcb243e5f176f6bb186ae73,DCR Projects/Archive/NOVEMBER/scpa/histmss-023676-0016.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,49,histmss-023680-0001.tif,46723744,Thu Oct 17 14:37:21 EDT 2013,01d152840a652a4c6c79bf6868e749b6,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0001.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,50,histmss-023680-0002.tif,47965196,Thu Oct 17 14:47:05 EDT 2013,d3c5d020e27b1b6f9bde981d6495974d,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0002.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,51,histmss-023680-0003.tif,46763604,Thu Oct 17 14:49:26 EDT 2013,8415dfc509038a6ca5f20052422a3a2d,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0003.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,52,histmss-023680-0004.tif,47217976,Wed Nov 06 16:48:04 EST 2013,456b3d96ef2bd2d061eec720bf649083,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0004.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,53,histmss-023680-0005.tif,44782032,Thu Oct 17 14:59:06 EDT 2013,237e1960c8fe59c843577361863c8889,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0005.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,54,histmss-023680-0006.tif,48578008,Thu Oct 17 15:08:22 EDT 2013,e557b79e86112944ecbb4a5a6190b08b,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0006.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,55,histmss-023680-0007.tif,46459428,Thu Oct 17 15:13:39 EDT 2013,893c6401b8b3ad6ed3736734ccbc1c64,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0007.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,56,histmss-023680-0008.tif,47615888,Thu Oct 17 15:16:49 EDT 2013,86605f12b60e8ab515a45d1c33a2592d,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0008.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,57,histmss-023680-0009.tif,45539956,Thu Oct 17 15:18:53 EDT 2013,98bd8b1887a543c20f55d05bd8bdf27f,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0009.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,58,histmss-023680-0010.tif,49745464,Thu Oct 17 15:23:44 EDT 2013,100b1b499a19a05d203813480058b612,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0010.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,59,histmss-023680-0011.tif,45412932,Thu Oct 17 15:25:42 EDT 2013,e8c081585d182f3a0ec7c42ce3c13dd7,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0011.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,60,histmss-023680-0012.tif,48522140,Thu Oct 17 15:31:17 EDT 2013,bfcec973f4a7d9d55dbd07bba585ab48,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0012.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,61,histmss-023680-0013.tif,46372732,Thu Oct 17 15:33:34 EDT 2013,37285a9066e63da28b0a2c0e08c2984a,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0013.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,62,histmss-023680-0014.tif,48375508,Thu Oct 17 15:51:08 EDT 2013,e46a74f36ae3f755b7904d53a0b861a5,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0014.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,63,histmss-023680-0015.tif,46392180,Thu Oct 17 15:54:11 EDT 2013,1b7262f5638353150b112473d4f52cbe,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0015.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,64,histmss-023680-0016.tif,49241544,Thu Oct 17 16:00:38 EDT 2013,19af03ad2c2348a649643db99e5f1c6e,DCR Projects/Archive/NOVEMBER/scpa/histmss-023680-0016.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,65,histmss-023683-0001.tif,57191676,Thu Oct 17 16:12:29 EDT 2013,b3bdd107ffc0dd53a0d9694d39749cbf,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0001.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,66,histmss-023683-0002.tif,60311244,Thu Oct 17 16:18:03 EDT 2013,a5bcb965af5d75561e176ea8c07a20b0,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0002.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,67,histmss-023683-0003.tif,58636368,Thu Oct 17 16:20:53 EDT 2013,4e0fbafa58f27fba67a932586e75b76d,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0003.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,68,histmss-023683-0004.tif,58619860,Thu Oct 17 16:31:34 EDT 2013,4b657974433177b8fa3546d49301cb48,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0004.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,69,histmss-023683-0005.tif,57822808,Thu Oct 17 16:33:59 EDT 2013,b0b30fc7a0305be97ee4c2cf81686380,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0005.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,70,histmss-023683-0006.tif,58234576,Thu Oct 17 16:38:10 EDT 2013,9dffffd6ecbcd237b3528655009ccf04,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0006.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,71,histmss-023683-0007.tif,57331376,Thu Oct 17 16:40:10 EDT 2013,7c8047fe2f59c5251e4a763ed2e3c1fd,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0007.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,72,histmss-023683-0008.tif,58689772,Thu Oct 17 16:49:41 EDT 2013,743afeb55cb9113ccc6a8e59486c2729,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0008.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,73,histmss-023683-0009.tif,58240992,Thu Oct 17 16:53:33 EDT 2013,5b1bddfce44782515c373d0f95a778f6,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0009.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,74,histmss-023683-0010.tif,57602812,Fri Oct 18 10:48:34 EDT 2013,2be305de7591f9f2924c1f7512f5b0b2,DCR Projects/Archive/NOVEMBER/scpa/histmss-023683-0010.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,75,histmss-023689-0001.tif,46226524,Fri Oct 18 10:59:03 EDT 2013,ad69b8c56401f4b813ccc86535350fe8,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0001.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,76,histmss-023689-0002.tif,47589456,Fri Oct 18 11:10:41 EDT 2013,31d002fad10ecd1c0249aef610add4e5,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0002.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,77,histmss-023689-0003.tif,47977884,Fri Oct 18 11:14:04 EDT 2013,278ea98a35d4f4adc78727b5783c6d82,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0003.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,78,histmss-023689-0004.tif,48801908,Fri Oct 18 11:20:48 EDT 2013,f37a77604f15fb74a9fe539b377df5f5,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0004.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,79,histmss-023689-0005.tif,47492724,Fri Oct 18 11:24:04 EDT 2013,3ecb52b57d2f7ccad5c843d505427d37,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0005.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,80,histmss-023689-0006.tif,49215260,Fri Oct 18 11:33:02 EDT 2013,90f0db00d14080f8baf47d2d07ac22df,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0006.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,81,histmss-023689-0007.tif,48154660,Fri Oct 18 11:53:57 EDT 2013,0ed196f14b024e0611984bc05c9cbe79,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0007.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,82,histmss-023689-0008.tif,49157820,Fri Oct 18 12:15:59 EDT 2013,e2813713fdbd5ebf46a6d72f1aeda9eb,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0008.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,83,histmss-023689-0009.tif,48775400,Fri Oct 18 12:24:51 EDT 2013,b7f67755944f4188fc0e130fa652422f,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0009.tif
Archive031,Archive031_2014-03-13_DPIdetails.txt,84,histmss-023689-0010.tif,48794692,Fri Oct 18 12:33:03 EDT 2013,724df9a3065c8eb7331cc0a7283573ff,DCR Projects/Archive/NOVEMBER/scpa/histmss-023689-0010.tif
